,petal_length,petal_width,sepal_length,sepal_width,species
0,1.4,0.2,5.1,3.5,0
1,1.4,0.2,4.9,3.0,0
2,1.3,0.2,4.7,3.2,0
3,1.5,0.2,4.6,3.1,0
4,1.4,0.2,5.0,3.6,0
5,1.7,0.4,5.4,3.9,0
6,1.4,0.3,4.6,3.4,0
7,1.5,0.2,5.0,3.4,0
8,1.4,0.2,4.4,2.9,0
9,1.5,0.1,4.9,3.1,0
10,1.5,0.2,5.4,3.7,0
11,1.6,0.2,4.8,3.4,0
12,1.4,0.1,4.8,3.0,0
13,1.1,0.1,4.3,3.0,0
14,1.2,0.2,5.8,4.0,0
15,1.5,0.4,5.7,4.4,0
16,1.3,0.4,5.4,3.9,0
17,1.4,0.3,5.1,3.5,0
18,1.7,0.3,5.7,3.8,0
19,1.5,0.3,5.1,3.8,0
20,1.7,0.2,5.4,3.4,0
21,1.5,0.4,5.1,3.7,0
22,1.0,0.2,4.6,3.6,0
23,1.7,0.5,5.1,3.3,0
24,1.9,0.2,4.8,3.4,0
25,1.6,0.2,5.0,3.0,0
26,1.6,0.4,5.0,3.4,0
27,1.5,0.2,5.2,3.5,0
28,1.4,0.2,5.2,3.4,0
29,1.6,0.2,4.7,3.2,0
30,1.6,0.2,4.8,3.1,0
31,1.5,0.4,5.4,3.4,0
32,1.5,0.1,5.2,4.1,0
33,1.4,0.2,5.5,4.2,0
34,1.5,0.1,4.9,3.1,0
35,1.2,0.2,5.0,3.2,0
36,1.3,0.2,5.5,3.5,0
37,1.5,0.1,4.9,3.1,0
38,1.3,0.2,4.4,3.0,0
39,1.5,0.2,5.1,3.4,0
40,1.3,0.3,5.0,3.5,0
41,1.3,0.3,4.5,2.3,0
42,1.3,0.2,4.4,3.2,0
43,1.6,0.6,5.0,3.5,0
44,1.9,0.4,5.1,3.8,0
45,1.4,0.3,4.8,3.0,0
46,1.6,0.2,5.1,3.8,0
47,1.4,0.2,4.6,3.2,0
48,1.5,0.2,5.3,3.7,0
49,1.4,0.2,5.0,3.3,0
50,4.7,1.4,7.0,3.2,1
51,4.5,1.5,6.4,3.2,1
52,4.9,1.5,6.9,3.1,1
53,4.0,1.3,5.5,2.3,1
54,4.6,1.5,6.5,2.8,1
55,4.5,1.3,5.7,2.8,1
56,4.7,1.6,6.3,3.3,1
57,3.3,1.0,4.9,2.4,1
58,4.6,1.3,6.6,2.9,1
59,3.9,1.4,5.2,2.7,1
60,3.5,1.0,5.0,2.0,1
61,4.2,1.5,5.9,3.0,1
62,4.0,1.0,6.0,2.2,1
63,4.7,1.4,6.1,2.9,1
64,3.6,1.3,5.6,2.9,1
65,4.4,1.4,6.7,3.1,1
66,4.5,1.5,5.6,3.0,1
67,4.1,1.0,5.8,2.7,1
68,4.5,1.5,6.2,2.2,1
69,3.9,1.1,5.6,2.5,1
70,4.8,1.8,5.9,3.2,1
71,4.0,1.3,6.1,2.8,1
72,4.9,1.5,6.3,2.5,1
73,4.7,1.2,6.1,2.8,1
74,4.3,1.3,6.4,2.9,1
75,4.4,1.4,6.6,3.0,1
76,4.8,1.4,6.8,2.8,1
77,5.0,1.7,6.7,3.0,1
78,4.5,1.5,6.0,2.9,1
79,3.5,1.0,5.7,2.6,1
80,3.8,1.1,5.5,2.4,1
81,3.7,1.0,5.5,2.4,1
82,3.9,1.2,5.8,2.7,1
83,5.1,1.6,6.0,2.7,1
84,4.5,1.5,5.4,3.0,1
85,4.5,1.6,6.0,3.4,1
86,4.7,1.5,6.7,3.1,1
87,4.4,1.3,6.3,2.3,1
88,4.1,1.3,5.6,3.0,1
89,4.0,1.3,5.5,2.5,1
90,4.4,1.2,5.5,2.6,1
91,4.6,1.4,6.1,3.0,1
92,4.0,1.2,5.8,2.6,1
93,3.3,1.0,5.0,2.3,1
94,4.2,1.3,5.6,2.7,1
95,4.2,1.2,5.7,3.0,1
96,4.2,1.3,5.7,2.9,1
97,4.3,1.3,6.2,2.9,1
98,3.0,1.1,5.1,2.5,1
99,4.1,1.3,5.7,2.8,1
100,6.0,2.5,6.3,3.3,2
101,5.1,1.9,5.8,2.7,2
102,5.9,2.1,7.1,3.0,2
103,5.6,1.8,6.3,2.9,2
104,5.8,2.2,6.5,3.0,2
105,6.6,2.1,7.6,3.0,2
106,4.5,1.7,4.9,2.5,2
107,6.3,1.8,7.3,2.9,2
108,5.8,1.8,6.7,2.5,2
109,6.1,2.5,7.2,3.6,2
110,5.1,2.0,6.5,3.2,2
111,5.3,1.9,6.4,2.7,2
112,5.5,2.1,6.8,3.0,2
113,5.0,2.0,5.7,2.5,2
114,5.1,2.4,5.8,2.8,2
115,5.3,2.3,6.4,3.2,2
116,5.5,1.8,6.5,3.0,2
117,6.7,2.2,7.7,3.8,2
118,6.9,2.3,7.7,2.6,2
119,5.0,1.5,6.0,2.2,2
120,5.7,2.3,6.9,3.2,2
121,4.9,2.0,5.6,2.8,2
122,6.7,2.0,7.7,2.8,2
123,4.9,1.8,6.3,2.7,2
124,5.7,2.1,6.7,3.3,2
125,6.0,1.8,7.2,3.2,2
126,4.8,1.8,6.2,2.8,2
127,4.9,1.8,6.1,3.0,2
128,5.6,2.1,6.4,2.8,2
129,5.8,1.6,7.2,3.0,2
130,6.1,1.9,7.4,2.8,2
131,6.4,2.0,7.9,3.8,2
132,5.6,2.2,6.4,2.8,2
133,5.1,1.5,6.3,2.8,2
134,5.6,1.4,6.1,2.6,2
135,6.1,2.3,7.7,3.0,2
136,5.6,2.4,6.3,3.4,2
137,5.5,1.8,6.4,3.1,2
138,4.8,1.8,6.0,3.0,2
139,5.4,2.1,6.9,3.1,2
140,5.6,2.4,6.7,3.1,2
141,5.1,2.3,6.9,3.1,2
142,5.1,1.9,5.8,2.7,2
143,5.9,2.3,6.8,3.2,2
144,5.7,2.5,6.7,3.3,2
145,5.2,2.3,6.7,3.0,2
146,5.0,1.9,6.3,2.5,2
147,5.2,2.0,6.5,3.0,2
148,5.4,2.3,6.2,3.4,2
149,5.1,1.8,5.9,3.0,2
